seq_orgao;cod_municipio;cod_orgao;seq_unidade;cod_unidade;cod_subunidade;num_anoexercicio;num_mesexercicio;dsc_funcao;dsc_subfuncao;dsc_programa;dsc_acao;dsc_subacao;dsc_naturezadespesa;dsc_fonterecurso;dsc_cod_orcamentario;vlr_previsto;vlr_acrescimo;vlr_deducao;vlr_empenhado;vlr_liquidado;vlr_pago;vlr_rspprocessado;vlr_rspnprocessado
2169;3171303;02;261156;2007;2;2018;6;08 - ASSISTÊNCIA SOCIAL;244 - ASSISTÊNCIA COMUNITÁRIA;0025 - ASSISTIR AS FAMILIAS CARENTES DE VICOSA;2155 - MANUTDO PISO SOCIAL ESPECIAL DE MEDIA COMPLEXIDAD;;3.1.90.11.00 - VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL;129 - TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL (FNAS);NÃO INFORMADO;0;2325;0;0;0;0;0;0
2169;3171303;02;261142;2007;4;2018;8;08 - ASSISTÊNCIA SOCIAL;122 - ADMINISTRAÇÃO GERAL;0001 - APOIO ADMINISTRATIVO;2016 - MANUT ATIVID DA SEC POLITICAS SOCIAIS  PESSOAL;;3.1.90.16.00 - OUTRAS DESPESAS VARIÁVEIS - PESSOAL CIVIL;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;7046.33;7046.33;8867.51;-1821.18;0
2168;3171303;01;261137;1002;-9;2018;10;01 - LEGISLATIVA;031 - AÇÃO LEGISLATIVA;0101 - PROCESSO LEGISLATIVO;4013 - MANUTENCAO DAS ATIVIDADES DA CAMARA;;3.3.90.30.16 - MATERIAL DE EXPEDIENTE;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;50;0;0;0;50
2170;3171303;03;261132;3002;-9;2018;10;17 - SANEAMENTO;512 - SANEAMENTO BÁSICO URBANO;0447 - ABASTECIMENTO DE AGUA;8502 - OPERACAO MANUTENCAO DO SISTEMA AGUA;;3.3.90.30.07 - GÊNEROS DE ALIMENTAÇÃO;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;0;1460.1;1460.1;0;-1460.1
2169;3171303;02;261111;2013;-9;2018;4;04 - ADMINISTRAÇÃO;122 - ADMINISTRAÇÃO GERAL;0001 - APOIO ADMINISTRATIVO;2024 - MANUT DAS ATIVIDADES DA CONTROLADORIA  PESSOAL;;3.3.90.49.00 - AUXÍLIO-TRANSPORTE;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;576;576;602.8;-26.8;0
2169;3171303;02;261112;2006;-9;2018;8;04 - ADMINISTRAÇÃO;122 - ADMINISTRAÇÃO GERAL;0001 - APOIO ADMINISTRATIVO;2052 - MANUT DOS BENSSERV DO INSTITUTO DE PLANEJAMENTO;;3.3.90.39.33 - SERVIÇOS DE COMUNICAÇÃO EM GERAL;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;956.08;0;0;0;956.08
2169;3171303;02;261169;2004;2;2018;12;12 - EDUCAÇÃO;361 - ENSINO FUNDAMENTAL;0001 - APOIO ADMINISTRATIVO;2041 - MANUT DOS BENSSERV DO ENSINO FUNDAMENTAL;;3.3.90.39.33 - SERVIÇOS DE COMUNICAÇÃO EM GERAL;101 - RECEITAS DE IMPOSTOS E DE TRANSFERÊNCIAS DE IMPOSTOS VINCULADOS À EDUCAÇÃO;NÃO INFORMADO;0;0;0;-212.16;212.16;0;212.16;-424.32
2169;3171303;02;261147;2003;1;2018;1;10 - SAÚDE;122 - ADMINISTRAÇÃO GERAL;0001 - APOIO ADMINISTRATIVO;2005 - MANUT DO SUBSIDIO DO SECRETARIO DE SAUDE;;3.1.90.11.09 - SUBSÍDIO DE SECRETÁRIO MUNICIPAL;102 - RECEITAS DE IMPOSTOS E DE TRANSFERÊNCIAS DE IMPOSTOS VINCULADOS À SAÚDE;NÃO INFORMADO;0;0;0;6216.33;6216.33;0;6216.33;0
2170;3171303;03;261133;3003;-9;2018;8;17 - SANEAMENTO;512 - SANEAMENTO BÁSICO URBANO;0449 - SISTEMA DE ESGOTO;8503 - OPERACAO E MANUTENCAO DO SISTEMA ESGOTO;;3.3.90.30.01 - COMBUSTÍVEIS AUTOMOTIVOS;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;0;4218.23;4218.23;0;-4218.23
2169;3171303;02;261108;2005;-9;2018;5;15 - URBANISMO;122 - ADMINISTRAÇÃO GERAL;0001 - APOIO ADMINISTRATIVO;2014 - MANUT DAS ATIVIDADES DA SEC DE OBRAS  PESSOAL;;3.1.90.11.03 - PESSOAL DE CARGO EFETIVO (VINCULADO AO RPPS), EXCETO FUNDEB;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;0;152651.19;152651.19;161138.2;-8487.01;0
2169;3171303;02;261150;2010;5;2018;12;13 - CULTURA;812 - DESPORTO COMUNITÁRIO;0024 - PROMOVER O DESPORTO PARA A POPULACAO;2108 - MANUT DO PROGRAMA BOM DE NOTA BOM DE BOLA;;3.3.90.30.00 - MATERIAL DE CONSUMO;100 - RECURSOS ORDINÁRIOS;NÃO INFORMADO;0;0;10000;0;0;0;0;0
